Name=Paul
Max HRT=178
V02=160
Anaerobic=142
Aerobic=125
Fat Burn=107
Warm Up=89
start_time=1351033679
Reading,Time(ms),HRT,Calories,Avg HRT,Max HRT,Min HRT
1,0,62,0,62,63,60
2,247,62,0,62,63,60
3,493,62,0,62,63,60
4,739,62,0,62,63,60
5,985,62,0,62,63,60
6,1232,62,0,62,63,60
7,1478,62,0,62,63,60
8,1724,62,0,62,63,60
9,1970,62,0,62,63,60
10,2217,62,0,62,63,60
11,2463,62,0,62,63,60
12,2709,62,0,62,63,60
13,2955,63,0,62,63,60
14,3202,63,0,62,63,60
15,3448,63,0,62,63,60
16,3694,63,0,62,63,60
17,3941,64,0,62,64,60
18,4187,64,0,62,64,60
19,4433,64,0,62,64,60
20,4679,64,0,62,64,60
21,4925,64,0,62,64,60
22,5172,64,0,62,64,60
23,5419,64,0,62,64,60
24,5665,65,0,62,65,60
25,5912,65,0,62,65,60
26,6158,65,0,63,65,60
27,6404,65,0,63,65,60
28,6650,65,0,63,65,60
29,6897,65,0,63,65,60
30,7143,65,0,63,65,60
31,7389,65,0,63,65,60
32,7635,65,0,63,65,60
33,7882,65,0,63,65,60
34,8128,65,0,63,65,60
35,8374,65,0,63,65,60
36,8620,65,0,63,65,60
37,8867,65,0,63,65,60
38,9113,65,0,63,65,60
39,9359,65,0,63,65,60
40,9606,65,0,63,65,60
41,9852,65,0,63,65,60
42,10098,65,0,63,65,60
43,10344,65,0,63,65,60
44,10591,65,0,63,65,60
45,10836,65,0,63,65,60
46,11083,66,0,63,66,60
47,11329,66,0,63,66,60
48,11576,67,0,64,67,60
49,11822,67,0,64,67,60
50,12068,67,0,64,67,60
51,12314,67,0,64,67,60
52,12561,67,0,64,67,60
53,12807,67,0,64,67,60
54,13053,67,0,64,67,60
55,13299,68,0,64,68,60
56,13546,68,0,64,68,60
57,13792,68,0,64,68,60
58,14038,69,0,64,69,60
59,14284,69,0,64,69,60
60,14531,69,1,64,69,60
61,14777,69,1,64,69,60
62,15023,70,1,64,70,60
63,15269,70,1,65,70,60
64,15516,70,1,65,70,60
65,15762,70,1,65,70,60
66,16008,70,1,65,70,60
67,16254,70,1,65,70,60
68,16501,70,1,65,70,60
69,16747,70,1,65,70,60
70,16993,70,1,65,70,60
71,17240,70,1,65,70,60
72,17486,70,1,65,70,60
73,17732,70,1,65,70,60
74,17978,70,1,65,70,60
75,18225,70,1,65,70,60
76,18471,70,1,65,70,60
77,18717,70,1,65,70,60
78,18963,70,1,65,70,60
79,19210,70,1,66,70,60
80,19456,70,1,66,70,60
81,19702,70,1,66,70,60
82,19948,70,1,66,70,60
83,20195,70,1,66,70,60
84,20441,70,1,66,70,60
85,20687,70,1,66,70,60
86,20933,70,1,66,70,60
87,21180,70,1,66,70,60
88,21426,82,1,66,82,60
89,21672,82,1,66,82,60
90,21918,82,1,66,82,60
91,22165,82,1,67,82,60
92,22411,82,1,67,82,60
93,22657,82,1,67,82,60
94,22904,82,1,67,82,60
95,23151,82,1,67,82,60
96,23397,82,1,67,82,60
97,23643,82,1,67,82,60
98,23890,82,1,68,82,60
