Name=Paul
Max HRT=178
V02=160
Anaerobic=142
Aerobic=125
Fat Burn=107
Warm Up=89
start_time=1351118695
Reading,Time(ms),HRT,Calories,Avg HRT,Max HRT,Min HRT
1,0,58,0,58,73,58
2,246,58,0,58,73,58
3,492,58,0,58,73,58
4,738,58,0,58,73,58
5,985,58,0,58,73,58
6,1231,58,0,58,73,58
7,1477,58,0,58,73,58
8,1723,58,0,58,73,58
9,1970,58,0,58,73,58
10,2216,58,0,58,73,58
11,2462,58,0,58,73,58
12,2708,58,0,58,73,58
13,2955,58,0,58,73,58
14,3201,58,0,58,73,58
15,3447,58,0,58,73,58
16,3694,58,0,58,73,58
17,3940,58,0,58,73,58
18,4186,58,0,58,73,58
19,4432,58,0,58,73,58
20,4678,59,0,58,73,58
21,4925,59,0,58,73,58
22,5171,59,0,58,73,58
23,5418,59,0,58,73,58
24,5665,59,0,58,73,58
25,5911,59,0,58,73,58
26,6157,59,0,58,73,58
27,6403,59,0,58,73,58
28,6650,60,0,58,73,58
29,6896,60,0,58,73,58
30,7142,60,0,58,73,58
31,7388,60,0,58,73,58
32,7635,59,0,58,73,58
33,7881,59,0,58,73,58
34,8127,59,0,58,73,58
35,8374,59,0,58,73,58
36,8620,59,0,58,73,58
37,8866,59,0,58,73,58
38,9112,59,0,58,73,58
39,9358,59,0,58,73,58
40,9605,59,0,58,73,58
41,9851,59,0,58,73,58
42,10097,59,0,58,73,58
43,10344,59,0,58,73,58
44,10590,59,0,58,73,58
45,10836,59,0,58,73,58
46,11082,59,0,58,73,58
47,11329,59,0,58,73,58
48,11575,60,0,58,73,58
49,11821,60,0,58,73,58
50,12067,60,0,58,73,58
51,12313,60,0,58,73,58
52,12560,60,0,58,73,58
53,12806,60,0,58,73,58
54,13052,60,0,58,73,58
55,13299,60,0,58,73,58
56,13545,60,0,58,73,58
57,13791,59,0,58,73,58
58,14037,59,0,58,73,58
59,14284,59,0,58,73,58
60,14530,59,0,58,73,58
61,14776,59,0,58,73,58
62,15022,59,0,58,73,58
63,15269,59,0,58,73,58
64,15515,59,0,58,73,58
65,15761,59,0,58,73,58
66,16007,59,0,58,73,58
67,16254,59,0,58,73,58
68,16500,59,0,58,73,58
69,16746,59,0,58,73,58
70,16992,59,0,58,73,58
71,17239,59,0,58,73,58
72,17485,59,0,58,73,58
73,17731,59,0,58,73,58
74,17978,58,0,58,73,58
75,18224,58,0,58,73,58
76,18470,58,0,58,73,58
77,18716,58,0,58,73,58
78,18963,58,0,58,73,58
79,19209,58,0,58,73,58
80,19455,58,0,58,73,58
81,19701,58,0,58,73,58
82,19948,58,0,58,73,58
83,20194,57,0,58,73,57
84,20440,57,0,58,73,57
85,20686,57,0,58,73,57
86,20933,57,0,58,73,57
87,21179,57,0,58,73,57
88,21425,57,0,58,73,57
89,21671,57,0,58,73,57
90,21918,57,0,58,73,57
91,22164,57,0,58,73,57
92,22410,57,0,58,73,57
93,22656,57,0,58,73,57
94,22904,57,0,58,73,57
95,23150,57,0,58,73,57
96,23396,57,0,58,73,57
97,23643,57,0,58,73,57
98,23889,57,0,58,73,57
99,24135,58,0,58,73,57
100,24381,58,0,58,73,57
101,24627,58,0,58,73,57
102,24874,58,0,58,73,57
103,25120,59,0,58,73,57
104,25366,59,0,58,73,57
105,25612,59,0,58,73,57
106,25859,59,0,58,73,57
107,26105,59,0,58,73,57
108,26351,59,0,58,73,57
109,26598,59,1,58,73,57
110,26844,59,1,58,73,57
111,27090,59,1,58,73,57
112,27336,59,1,58,73,57
113,27582,59,1,58,73,57
114,27829,59,1,58,73,57
115,28075,59,1,58,73,57
116,28321,58,1,58,73,57
117,28568,58,1,58,73,57
118,28814,58,1,58,73,57
119,29060,58,1,58,73,57
120,29306,62,1,58,73,57
121,29553,62,1,58,73,57
122,29799,62,1,58,73,57
123,30045,62,1,58,73,57
124,30292,62,1,58,73,57
125,30538,62,1,58,73,57
126,30784,62,1,58,73,57
127,31030,62,1,58,73,57
128,31276,62,1,58,73,57
129,31523,62,1,58,73,57
130,31768,62,1,58,73,57
131,32015,62,1,58,73,57
132,32261,62,1,58,73,57
133,32508,62,1,58,73,57
134,32754,62,1,58,73,57
135,33000,62,1,58,73,57
136,33247,62,1,58,73,57
137,33493,62,1,58,73,57
138,33739,62,1,59,73,57
139,33985,62,1,59,73,57
140,34231,62,1,59,73,57
141,34478,62,1,59,73,57
142,34724,62,1,59,73,57
143,34970,62,1,59,73,57
144,35216,62,1,59,73,57
145,35463,62,1,59,73,57
146,35709,62,1,59,73,57
147,35955,62,1,59,73,57
148,36202,62,1,59,73,57
149,36448,62,1,59,73,57
150,36694,62,1,59,73,57
151,36940,62,1,59,73,57
152,37187,62,1,59,73,57
153,37432,62,1,59,73,57
154,37679,62,1,59,73,57
155,37925,62,1,59,73,57
156,38172,62,1,59,73,57
157,38418,62,1,59,73,57
158,38664,62,1,59,73,57
