Name=Paul
Max HRT=177
V02=160
Anaerobic=142
Aerobic=124
Fat Burn=106
Warm Up=89
start_time=1381272250
Reading,Time(ms),HRT,Calories,Avg HRT,Max HRT,Min HRT
1,0,64,0,64,86,64
2,246,64,0,64,86,64
3,492,64,0,64,86,64
4,739,63,0,63,86,63
5,985,63,0,63,86,63
6,1231,63,0,63,86,63
7,1477,63,0,63,86,63
8,1724,62,0,63,86,62
9,1970,62,0,63,86,62
10,2216,62,0,63,86,62
11,2463,62,0,62,86,62
12,2709,62,0,62,86,62
13,2955,62,0,62,86,62
14,3201,62,0,62,86,62
15,3447,62,0,62,86,62
16,3694,62,0,62,86,62
17,3940,61,0,62,86,61
18,4186,61,0,62,86,61
19,4433,61,0,62,86,61
20,4679,61,0,62,86,61
21,4925,61,0,62,86,61
22,5171,61,0,62,86,61
23,5418,61,0,62,86,61
24,5664,61,0,62,86,61
25,5910,61,0,62,86,61
26,6156,61,0,62,86,61
27,6403,61,0,61,86,61
28,6649,61,0,61,86,61
29,6895,61,0,61,86,61
30,7141,61,0,61,86,61
31,7388,61,0,61,86,61
32,7634,61,0,61,86,61
33,7880,61,0,61,86,61
34,8126,61,0,61,86,61
35,8373,61,0,61,86,61
36,8619,61,0,61,86,61
37,8865,61,0,61,86,61
38,9112,61,0,61,86,61
39,9358,61,0,61,86,61
40,9604,61,0,61,86,61
41,9850,61,0,61,86,61
42,10097,61,0,61,86,61
43,10343,61,0,61,86,61
44,10589,62,0,61,86,61
45,10835,62,0,61,86,61
46,11083,62,0,61,86,61
47,11329,62,0,61,86,61
48,11575,63,0,61,86,61
49,11821,63,0,61,86,61
50,12068,63,0,61,86,61
51,12314,65,0,61,86,61
52,12560,65,0,61,86,61
53,12806,65,0,61,86,61
54,13053,65,0,61,86,61
55,13299,65,0,62,86,61
56,13545,65,0,62,86,61
57,13791,65,0,62,86,61
58,14038,65,0,62,86,61
59,14284,65,0,62,86,61
60,14530,65,0,62,86,61
61,14776,65,0,62,86,61
62,15023,65,0,62,86,61
63,15269,65,0,62,86,61
64,15515,65,0,62,86,61
65,15761,65,0,62,86,61
66,16008,65,0,62,86,61
67,16254,64,0,62,86,61
68,16500,64,0,62,86,61
69,16747,64,0,62,86,61
70,16993,64,0,62,86,61
71,17239,63,0,62,86,61
72,17485,63,0,62,86,61
73,17731,63,0,62,86,61
74,17978,63,0,62,86,61
75,18224,63,0,62,86,61
76,18470,62,1,62,86,61
77,18717,62,1,62,86,61
78,18963,62,1,62,86,61
79,19209,62,1,62,86,61
80,19455,60,1,62,86,60
81,19702,60,1,62,86,60
82,19948,60,1,62,86,60
83,20194,60,1,62,86,60
84,20440,60,1,62,86,60
85,20687,60,1,62,86,60
86,20933,60,1,62,86,60
87,21179,60,1,62,86,60
88,21425,60,1,62,86,60
89,21672,59,1,62,86,59
90,21918,59,1,62,86,59
91,22164,59,1,62,86,59
92,22410,59,1,62,86,59
93,22657,59,1,62,86,59
94,22902,59,1,62,86,59
95,23149,59,1,62,86,59
96,23396,59,1,62,86,59
97,23642,59,1,62,86,59
98,23888,59,1,61,86,59
99,24134,59,1,61,86,59
100,24380,59,1,61,86,59
101,24627,59,1,61,86,59
102,24873,59,1,61,86,59
103,25119,59,1,61,86,59
104,25366,59,1,61,86,59
105,25612,59,1,61,86,59
106,25858,59,1,61,86,59
107,26104,59,1,61,86,59
108,26351,59,1,61,86,59
109,26597,59,1,61,86,59
110,26843,59,1,61,86,59
111,27089,59,1,61,86,59
112,27336,59,1,61,86,59
113,27582,59,1,61,86,59
114,27828,59,1,61,86,59
115,28074,58,1,61,86,58
116,28321,58,1,61,86,58
117,28568,58,1,61,86,58
118,28814,58,1,61,86,58
119,29060,58,1,61,86,58
120,29307,58,1,61,86,58
121,29553,58,1,61,86,58
122,29799,58,1,61,86,58
123,30045,58,1,61,86,58
124,30292,58,1,61,86,58
125,30538,58,1,61,86,58
126,30784,58,1,61,86,58
127,31030,58,1,61,86,58
128,31277,58,1,61,86,58
129,31523,58,1,61,86,58
130,31769,58,1,61,86,58
131,32015,59,1,61,86,58
132,32262,59,1,61,86,58
133,32508,59,1,61,86,58
134,32754,59,1,61,86,58
135,33000,59,1,61,86,58
136,33247,59,1,61,86,58
137,33493,59,1,61,86,58
138,33739,59,1,61,86,58
139,33986,59,1,60,86,58
140,34232,59,1,60,86,58
141,34478,59,1,60,86,58
142,34724,59,1,60,86,58
143,34971,59,1,60,86,58
144,35217,59,1,60,86,58
145,35463,59,1,60,86,58
146,35709,59,1,60,86,58
147,35956,59,1,60,86,58
148,36202,59,1,60,86,58
149,36448,59,1,60,86,58
150,36694,59,1,60,86,58
151,36941,59,1,60,86,58
152,37187,59,1,60,86,58
153,37433,59,1,60,86,58
154,37679,59,1,60,86,58
155,37926,60,1,60,86,58
156,38172,60,1,60,86,58
157,38418,60,1,60,86,58
158,38665,60,1,60,86,58
159,38911,61,1,60,86,58
160,39157,61,1,60,86,58
161,39403,61,1,60,86,58
162,39650,61,1,60,86,58
163,39896,61,1,60,86,58
164,40142,61,1,60,86,58
165,40388,61,1,60,86,58
166,40635,61,1,60,86,58
167,40881,62,1,60,86,58
168,41127,62,1,60,86,58
169,41373,62,1,60,86,58
170,41620,62,1,60,86,58
171,41866,62,1,60,86,58
172,42112,62,1,60,86,58
173,42358,62,1,60,86,58
174,42605,63,1,60,86,58
175,42851,63,1,60,86,58
176,43097,63,1,60,86,58
177,43343,63,1,60,86,58
178,43590,63,1,60,86,58
179,43836,63,1,60,86,58
180,44082,63,1,60,86,58
181,44328,64,1,60,86,58
182,44575,64,1,60,86,58
183,44821,64,1,60,86,58
184,45067,64,1,60,86,58
185,45313,64,1,61,86,58
186,45560,64,1,61,86,58
187,45806,64,1,61,86,58
188,46053,65,1,61,86,58
189,46300,65,1,61,86,58
190,46546,65,1,61,86,58
191,46792,65,1,61,86,58
192,47038,65,1,61,86,58
193,47285,65,1,61,86,58
194,47531,65,1,61,86,58
195,47777,66,1,61,86,58
196,48023,66,1,61,86,58
197,48269,66,1,61,86,58
198,48516,66,1,61,86,58
199,48762,66,1,61,86,58
200,49008,66,1,61,86,58
201,49255,66,1,61,86,58
202,49501,67,1,61,86,58
203,49747,67,1,61,86,58
204,49993,67,1,61,86,58
205,50239,67,1,61,86,58
206,50486,67,1,61,86,58
207,50732,67,1,61,86,58
208,50978,67,1,61,86,58
209,51225,68,1,61,86,58
210,51471,68,1,61,86,58
211,51717,68,1,61,86,58
212,51963,68,1,61,86,58
213,52210,68,1,61,86,58
214,52456,68,1,61,86,58
215,52702,68,1,61,86,58
216,52948,69,1,61,86,58
217,53195,69,1,61,86,58
218,53441,69,1,61,86,58
219,53687,69,1,61,86,58
220,53933,69,1,61,86,58
221,54180,69,1,61,86,58
222,54426,70,1,61,86,58
223,54672,70,1,62,86,58
224,54918,70,1,62,86,58
225,55165,70,1,62,86,58
226,55411,70,1,62,86,58
227,55657,70,1,62,86,58
228,55904,70,1,62,86,58
229,56150,70,1,62,86,58
230,56396,70,1,62,86,58
231,56642,70,1,62,86,58
232,56889,70,1,62,86,58
233,57135,70,2,62,86,58
234,57381,70,2,62,86,58
235,57627,70,2,62,86,58
236,57874,70,2,62,86,58
237,58120,70,2,62,86,58
238,58366,71,2,62,86,58
239,58612,71,2,62,86,58
240,58859,71,2,62,86,58
241,59105,71,2,62,86,58
242,59351,71,2,62,86,58
243,59597,71,2,62,86,58
244,59844,71,2,62,86,58
245,60090,72,2,62,86,58
246,60336,72,2,62,86,58
247,60582,72,2,62,86,58
248,60829,72,2,62,86,58
249,61075,72,2,62,86,58
250,61321,72,2,62,86,58
251,61567,72,2,62,86,58
252,61814,72,2,63,86,58
253,62060,72,2,63,86,58
254,62306,73,2,63,86,58
255,62552,73,2,63,86,58
256,62799,73,2,63,86,58
257,63045,73,2,63,86,58
258,63291,73,2,63,86,58
259,63538,73,2,63,86,58
260,63785,73,2,63,86,58
261,64031,73,2,63,86,58
262,64277,73,2,63,86,58
263,64524,73,2,63,86,58
264,64769,73,2,63,86,58
265,65016,74,2,63,86,58
266,65262,74,2,63,86,58
267,65509,74,2,63,86,58
268,65755,74,2,63,86,58
269,66001,74,2,63,86,58
270,66247,75,2,63,86,58
271,66494,75,2,63,86,58
272,66740,75,2,63,86,58
273,66986,75,2,63,86,58
274,67232,75,2,63,86,58
275,67479,75,2,63,86,58
276,67725,75,2,63,86,58
277,67971,75,2,64,86,58
278,68217,75,2,64,86,58
279,68464,75,2,64,86,58
280,68710,76,2,64,86,58
281,68956,76,2,64,86,58
282,69202,76,2,64,86,58
283,69449,76,2,64,86,58
284,69695,76,2,64,86,58
285,69941,76,2,64,86,58
286,70187,76,2,64,86,58
287,70434,76,2,64,86,58
288,70680,76,2,64,86,58
289,70926,76,2,64,86,58
290,71172,76,2,64,86,58
291,71419,76,2,64,86,58
292,71665,77,2,64,86,58
293,71911,77,2,64,86,58
294,72158,77,2,64,86,58
295,72404,77,2,64,86,58
296,72650,77,2,64,86,58
297,72896,77,2,64,86,58
298,73143,78,2,64,86,58
299,73389,78,2,64,86,58
300,73635,78,2,64,86,58
301,73881,78,2,64,86,58
302,74128,78,2,65,86,58
303,74374,78,2,65,86,58
304,74620,87,2,65,87,58
305,74866,87,3,65,87,58
306,75113,87,3,65,87,58
307,75359,87,3,65,87,58
308,75605,87,3,65,87,58
309,75851,87,3,65,87,58
310,76098,87,3,65,87,58
311,76344,87,3,65,87,58
312,76590,87,3,65,87,58
313,76836,87,3,65,87,58
314,77083,87,3,65,87,58
315,77329,87,3,65,87,58
316,77575,87,3,65,87,58
317,77821,87,3,66,87,58
318,78068,87,3,66,87,58
319,78314,95,3,66,95,58
320,78560,102,3,66,102,58
321,78806,102,3,66,102,58
322,79053,102,3,66,102,58
323,79299,102,3,66,102,58
324,79545,102,3,66,102,58
325,79792,108,3,66,108,58
326,80038,108,3,67,108,58
327,80284,113,3,67,113,58
328,80530,118,3,67,118,58
329,80777,118,3,67,118,58
330,81024,122,3,67,122,58
331,81270,126,3,67,126,58
332,81516,126,3,67,126,58
333,81763,128,3,68,128,58
334,82009,128,3,68,128,58
335,82255,128,3,68,128,58
336,82501,128,3,68,128,58
337,82748,128,4,68,128,58
338,82994,132,4,69,132,58
339,83240,132,4,69,132,58
340,83486,134,4,69,134,58
341,83733,137,4,69,137,58
342,83979,137,4,69,137,58
343,84225,140,4,70,140,58
344,84472,140,4,70,140,58
345,84718,140,4,70,140,58
346,84964,141,4,70,141,58
347,85210,142,4,70,142,58
348,85457,142,4,71,142,58
349,85703,143,4,71,143,58
350,85949,143,4,71,143,58
351,86195,144,4,71,144,58
352,86442,144,4,71,144,58
353,86688,144,4,72,144,58
354,86934,144,4,72,144,58
355,87180,144,5,72,144,58
356,87426,145,5,72,145,58
357,87673,145,5,72,145,58
358,87919,145,5,73,145,58
359,88165,145,5,73,145,58
360,88412,145,5,73,145,58
361,88658,145,5,73,145,58
362,88904,145,5,73,145,58
363,89150,145,5,74,145,58
364,89397,145,5,74,145,58
365,89643,145,5,74,145,58
366,89889,145,5,74,145,58
367,90135,145,5,74,145,58
368,90382,145,5,75,145,58
369,90628,145,5,75,145,58
370,90874,145,5,75,145,58
371,91121,145,5,75,145,58
372,91367,147,5,75,147,58
373,91613,147,6,75,147,58
374,91859,147,6,76,147,58
375,92105,147,6,76,147,58
376,92352,148,6,76,148,58
377,92598,148,6,76,148,58
378,92844,148,6,76,148,58
379,93091,148,6,77,148,58
380,93337,148,6,77,148,58
381,93583,148,6,77,148,58
382,93829,148,6,77,148,58
383,94076,148,6,77,148,58
384,94322,148,6,78,148,58
385,94568,148,6,78,148,58
386,94814,148,6,78,148,58
387,95061,148,6,78,148,58
388,95307,149,6,78,149,58
389,95553,149,7,78,149,58
390,95799,148,7,79,149,58
391,96046,148,7,79,149,58
392,96292,148,7,79,149,58
393,96538,148,7,79,149,58
394,96784,148,7,79,149,58
395,97031,149,7,80,149,58
396,97277,149,7,80,149,58
397,97523,149,7,80,149,58
398,97769,149,7,80,149,58
399,98016,149,7,80,149,58
400,98262,149,7,80,149,58
401,98509,150,7,81,150,58
402,98755,150,7,81,150,58
403,99002,150,7,81,150,58
404,99248,151,7,81,151,58
405,99494,151,7,81,151,58
406,99740,151,8,81,151,58
407,99987,151,8,82,151,58
408,100233,151,8,82,151,58
409,100479,151,8,82,151,58
410,100725,152,8,82,152,58
411,100972,152,8,82,152,58
412,101218,152,8,82,152,58
413,101464,152,8,83,152,58
414,101710,152,8,83,152,58
415,101957,152,8,83,152,58
416,102203,152,8,83,152,58
417,102449,153,8,83,153,58
418,102696,154,8,83,154,58
419,102942,154,8,84,154,58
420,103188,153,8,84,154,58
421,103434,153,8,84,154,58
422,103681,153,9,84,154,58
423,103927,153,9,84,154,58
424,104173,153,9,84,154,58
425,104419,153,9,85,154,58
426,104666,153,9,85,154,58
427,104912,153,9,85,154,58
428,105158,153,9,85,154,58
429,105404,153,9,85,154,58
430,105651,153,9,85,154,58
431,105897,153,9,85,154,58
